"Density","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1849999,9.0466148e-19,1004.703,0,1.7849999e-05,1.3098822e+08,0.28671801,0.48391229,0,1.412363e-08,0,0,0,0,0.0083344616,0,0,0.024908261,1e-10,0,0,0,0.041104808,1,0,0.2,0,0
1.1849999,4.6691658e-15,1004.703,0,1.7849999e-05,33944.402,0.2867758,0.4840098,-1.294706e-05,4.3640407e-09,9.2162419e-15,8.1758877e-10,-1.3849612e-10,0,0,0,0,0.024908261,1.2278846e-10,0.05515153,-1.6296774e-05,0,0,1,0.00020000001,0.2,0.00020000001,0
1.1849999,1.4656119e-13,1004.703,0,1.7849999e-05,8021.542,0.28677756,0.48401278,1.6799738e-06,4.4385473e-09,8.1184998e-17,1.6829426e-09,-1.8063752e-10,0,0,0,0,0.024908261,9.6611097e-10,0.10992887,5.6545758e-07,0,0,1,0.00040000002,0.2,0.00040000002,0
1.1849999,1.2904648e-12,1004.703,0,1.7849999e-05,3636.3164,0.28677866,0.48401463,-2.3154624e-07,4.5140669e-09,3.8732993e-16,2.5787679e-09,-2.0829842e-10,0,0,0,0,0.024908263,3.6926067e-09,0.16429958,3.5859972e-05,0,0,1,0.00060000003,0.2,0.00060000003,0
1.1849999,5.23772e-12,1004.703,0,1.7849999e-05,2094.3469,0.28677943,0.48401588,1.6122705e-06,4.5907029e-09,1.0589756e-15,3.4802445e-09,-2.2895429e-10,0,0,0,0,0.024908269,9.1557633e-09,0.21826674,8.6787084e-05,0,0,1,0.00080000004,0.2,0.00080000004,0
1.1849999,1.5862058e-11,1004.703,0,1.7849999e-05,1455.1726,0.28677991,0.48401675,2.61013e-06,4.6686903e-09,2.3415294e-15,4.3625796e-09,-2.4405922e-10,0,0,0,0,0.02490828,1.8731198e-08,0.27173099,0.00015459958,0,0,1,0.001,0.2,0.001,0
1.1849999,3.5228209e-11,1004.703,0,1.7849999e-05,1125.7692,0.28678036,0.48401749,3.0946603e-06,4.7479563e-09,4.2477605e-15,5.2066627e-09,-2.5516067e-10,0,0,0,0,0.024908302,3.2414711e-08,0.32468671,0.00023717123,0,0,1,0.0012000001,0.2,0.0012000001,0
1.1849999,6.3716817e-11,1004.703,0,1.7849999e-05,941.25201,0.28678086,0.48401836,3.1290479e-06,4.8285225e-09,6.6551561e-15,5.9961467e-09,-2.6311203e-10,0,0,0,0,0.024908332,4.9762036e-08,0.3770875,0.00033369093,0,0,1,0.0014000001,0.2,0.0014000001,0
1.1849999,9.9644584e-11,1004.703,0,1.7849999e-05,830.46564,0.28678161,0.48401958,2.7673582e-06,4.9103042e-09,9.334126e-15,6.7248429e-09,-2.68815e-10,0,0,0,0,0.024908373,6.9778281e-08,0.42894039,0.00044243777,0,0,1,0.0016000001,0.2,0.0016000001,0
1.1849999,1.4175244e-10,1004.703,0,1.7849999e-05,771.11511,0.28678274,0.48402151,1.886354e-06,4.9939701e-09,1.1735305e-14,7.3411228e-09,-2.7305327e-10,0,0,0,0,0.02490842,9.1327529e-08,0.47985554,0.00056831917,0,0,1,0.0018,0.2,0.0018,0
1.1849999,1.8347167e-10,1004.703,0,1.7849999e-05,726.33911,0.28678486,0.48402509,7.7339683e-07,5.0789737e-09,1.3360945e-14,7.8691382e-09,-2.7790539e-10,0,0,0,0,0.024908466,1.1171375e-07,0.53002208,0.00070480962,0,0,1,0.0020000001,0.2,0.0020000001,0
1.1849999,2.2489439e-10,1004.703,0,1.7849999e-05,692.67847,0.28678769,0.48402989,-5.1645623e-07,5.1649982e-09,1.4395118e-14,8.3298373e-09,-2.8322569e-10,0,0,0,0,0.024908513,1.3121293e-07,0.57961762,0.00084939081,0,0,1,0.0022,0.2,0.0022,0
1.1849999,2.5925628e-10,1004.703,0,1.7849999e-05,667.83936,0.28679088,0.48403525,-1.9118568e-06,5.2531406e-09,1.3411216e-14,8.6277883e-09,-2.9368427e-10,0,0,0,0,0.024908552,1.4548282e-07,0.62764305,0.0010095167,0,0,1,0.0024000001,0.2,0.0024000001,0
1.1849999,2.9241856e-10,1004.703,0,1.7849999e-05,644.49902,0.28679413,0.48404074,-3.3251868e-06,5.3416431e-09,1.2084464e-14,8.8980894e-09,-3.0501576e-10,0,0,0,0,0.024908589,1.5886428e-07,0.67540169,0.0011722833,0,0,1,0.0026,0.2,0.0026,0
1.1849999,3.1505695e-10,1004.703,0,1.7849999e-05,622.84747,0.28680384,0.48405716,-4.5007837e-06,5.4322395e-09,8.7315078e-15,8.9992582e-09,-3.2245739e-10,0,0,0,0,0.024908613,1.6513196e-07,0.7210086,0.0013491468,0,0,1,0.0028000001,0.2,0.0028000001,0
