"Density","Eddy_Viscosity","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Omega","Pressure","Pressure_Coefficient","Residual_Omega","Residual_Pressure","Residual_TKE","Residual_Velocity:0","Residual_Velocity:1","Residual_Velocity:2","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Thermal_Conductivity","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1849999,3.8054713e-15,1004.703,0,1.7849999e-05,4661206,0.32032582,0.54063427,-33065.707,-2.0286997e-08,8.2047022e-11,0,0,0,0.019793848,0,0,0.024908261,2.4978197e-08,0,0,0,0,1,0,0.40000001,0,0
1.1849999,2.6725027e-09,1004.703,0,1.7849999e-05,31640.316,0.3202967,0.54058516,-2.1108513,-5.851025e-09,1.4364715e-09,3.5939389e-09,-1.1722494e-09,0,0,0,0,0.024911245,6.5622444e-05,0.13125634,1.4623747e-05,0,0,1,0.00020000001,0.40000001,0.00020000001,0
1.1849999,9.153689e-08,1004.703,0,1.7849999e-05,8125.0137,0.32029736,0.54058623,-0.062428143,-5.9030958e-09,8.5673457e-10,6.4155499e-09,-1.4979316e-09,0,0,0,0,0.025010448,0.00061375799,0.26200953,2.1006994e-05,0,0,1,0.00040000002,0.40000001,0.00040000002,0
1.1849999,7.1958556e-07,1004.703,0,1.7849999e-05,3893.6887,0.32029787,0.54058713,-0.0037532782,-5.9531446e-09,3.1956351e-10,8.2395015e-09,-1.7117215e-09,0,0,0,0,0.025711562,0.0022352303,0.3901158,2.7226848e-05,0,0,1,0.00060000003,0.40000001,0.00060000003,0
1.1849999,2.4759136e-06,1004.703,0,1.7849999e-05,2409.0789,0.32029822,0.54058772,-0.00026426205,-6.0029826e-09,1.2776143e-10,9.3362083e-09,-1.8773856e-09,0,0,0,0,0.027672216,0.0049910098,0.51065409,3.4072549e-05,0,0,1,0.00080000004,0.40000001,0.00080000004,0
1.1849999,5.8105416e-06,1004.703,0,1.7849999e-05,1755.4023,0.32029837,0.54058796,-4.2897751e-05,-6.0530079e-09,6.5874198e-12,9.2873629e-09,-2.0120787e-09,0,0,0,0,0.031394783,0.0083897039,0.6158039,4.1984011e-05,0,0,1,0.001,0.40000001,0.001,0
1.1849999,1.0316105e-05,1004.703,0,1.7849999e-05,1371.0312,0.3202984,0.54058802,-2.0511445e-05,-6.103166e-09,-1.483315e-10,8.4835694e-09,-2.1292104e-09,0,0,0,0,0.036424506,0.011655069,0.70512301,5.0985662e-05,0,0,1,0.0012000001,0.40000001,0.0012000001,0
1.1849999,1.5626316e-05,1004.703,0,1.7849999e-05,1114.4738,0.32029825,0.54058778,-1.8672152e-05,-6.1534022e-09,-3.3181263e-10,7.2748119e-09,-2.2345963e-09,0,0,0,0,0.04235249,0.014461701,0.78048289,6.1102903e-05,0,0,1,0.0014000001,0.40000001,0.0014000001,0
1.1849999,2.1459455e-05,1004.703,0,1.7849999e-05,928.09912,0.32029796,0.54058731,-1.9442507e-05,-6.203698e-09,-5.2590488e-10,5.8592242e-09,-2.332053e-09,0,0,0,0,0.048864238,0.016784728,0.84505177,7.2247487e-05,0,0,1,0.0016000001,0.40000001,0.0016000001,0
1.1849999,2.7793745e-05,1004.703,0,1.7849999e-05,800.79614,0.32029724,0.54058605,-2.0313946e-05,-6.2540746e-09,-7.1238004e-10,4.287533e-09,-2.4214843e-09,0,0,0,0,0.055935439,0.018481147,0.89753163,8.4896616e-05,0,0,1,0.0018,0.40000001,0.0018,0
